Date,OIH
2024-03-11,302.4489440917969
2024-03-12,302.32379150390625
2024-03-13,306.5791931152344
2024-03-14,310.29541015625
2024-03-15,311.2388916015625
2024-03-18,312.047607421875
2024-03-19,318.9409484863281
2024-03-20,319.3741760253906
2024-03-21,321.3670654296875
2024-03-22,319.3548889160156
2024-03-25,321.8677062988281
2024-03-26,318.32476806640625
2024-03-27,322.7823181152344
2024-03-28,323.8028259277344
2024-04-01,325.4299011230469
2024-04-02,330.0992431640625
2024-04-03,335.914306640625
2024-04-04,331.81292724609375
2024-04-05,336.337890625
2024-04-08,332.9971618652344
2024-04-09,331.60113525390625
2024-04-10,332.92010498046875
2024-04-11,329.5889892578125
2024-04-12,321.7232971191406
2024-04-15,317.22723388671875
2024-04-16,313.1740417480469
2024-04-17,309.3711853027344
2024-04-18,309.2652587890625
2024-04-19,311.79730224609375
2024-04-22,310.49761962890625
2024-04-23,314.7144775390625
2024-04-24,312.97186279296875
2024-04-25,314.0116271972656
2024-04-26,313.8094482421875
2024-04-29,314.6181945800781
2024-04-30,301.3321838378906
2024-05-01,296.9420166015625
2024-05-02,300.2442321777344
2024-05-03,302.959228515625
2024-05-06,307.3493957519531
2024-05-07,308.013671875
2024-05-08,307.0798034667969
2024-05-09,312.5964050292969
2024-05-10,308.8801574707031
2024-05-13,310.5746154785156
2024-05-14,313.2992248535156
2024-05-15,312.8467102050781
2024-05-16,313.3666076660156
2024-05-17,315.4654235839844
2024-05-20,317.3427734375
2024-05-21,316.6495666503906
2024-05-22,305.3179626464844
2024-05-23,302.77630615234375
2024-05-24,303.58502197265625
2024-05-28,308.9764404296875
2024-05-29,302.2082824707031
2024-05-30,303.28656005859375
2024-05-31,309.4193420410156
2024-06-03,294.3714904785156
2024-06-04,287.67071533203125
2024-06-05,288.57568359375
2024-06-06,289.0474548339844
2024-06-07,290.2123718261719
2024-06-10,298.30914306640625
2024-06-11,297.28863525390625
2024-06-12,298.9830627441406
2024-06-13,292.1763916015625
2024-06-14,284.3010559082031
2024-06-17,288.9415588378906
2024-06-18,289.8561706542969
2024-06-20,293.0235900878906
2024-06-21,293.96710205078125
2024-06-24,302.073486328125
2024-06-25,303.2673034667969
2024-06-26,299.8206481933594
2024-06-27,301.5921325683594
2024-06-28,304.4033508300781
2024-07-01,300.2442321777344
2024-07-02,301.45733642578125
2024-07-03,303.1614074707031
2024-07-05,298.2513732910156
2024-07-08,298.30914306640625
2024-07-09,293.7552795410156
2024-07-10,296.2969970703125
2024-07-11,303.50799560546875
2024-07-12,305.52978515625
2024-07-15,316.9480285644531
2024-07-16,322.61865234375
2024-07-17,321.32855224609375
2024-07-18,319.00836181640625
2024-07-19,316.63031005859375
2024-07-22,315.0032653808594
2024-07-23,315.09954833984375
2024-07-24,307.6670837402344
2024-07-25,317.4582824707031
2024-07-26,321.66552734375
2024-07-29,317.9878234863281
2024-07-30,319.094970703125
2024-07-31,324.8041076660156
2024-08-01,311.0945129394531
2024-08-02,295.4497375488281
2024-08-05,284.6187744140625
2024-08-06,283.0205993652344
2024-08-07,281.42242431640625
2024-08-08,287.88250732421875
2024-08-09,286.63092041015625
2024-08-12,288.9126281738281
2024-08-13,286.6598205566406
2024-08-14,285.427490234375
2024-08-15,291.146240234375
2024-08-16,290.7129821777344
2024-08-19,292.763671875
