Date,SPY
2023-11-17,436.94512939453125
2023-11-20,440.30853271484375
2023-11-21,439.34893798828125
2023-11-22,441.0451965332031
2023-11-24,441.31658935546875
2023-11-27,440.5218200683594
2023-11-28,440.9579772949219
2023-11-29,440.6478271484375
2023-11-30,442.3827819824219
2023-12-01,444.9999084472656
2023-12-04,442.6639404296875
2023-12-05,442.57672119140625
2023-12-06,440.7931823730469
2023-12-07,444.1566467285156
2023-12-08,446.066162109375
2023-12-11,447.8011169433594
2023-12-12,449.8462829589844
2023-12-13,456.0497741699219
2023-12-14,457.5133972167969
2023-12-15,456.7601318359375
2023-12-18,459.32940673828125
2023-12-19,462.12255859375
2023-12-20,455.7188415527344
2023-12-21,460.0398864746094
2023-12-22,460.96441650390625
2023-12-26,462.9108581542969
2023-12-27,463.747802734375
2023-12-28,463.9230041503906
2023-12-29,462.5799865722656
2024-01-02,459.9912109375
2024-01-03,456.2345886230469
2024-01-04,454.7650146484375
2024-01-05,455.3879089355469
2024-01-08,461.88897705078125
2024-01-09,461.188232421875
2024-01-10,463.7965393066406
2024-01-11,463.5920715332031
2024-01-12,463.9132385253906
2024-01-16,462.21014404296875
2024-01-17,459.6408996582031
2024-01-18,463.72833251953125
2024-01-19,469.50927734375
2024-01-22,470.50201416015625
2024-01-23,471.8741760253906
2024-01-24,472.3900146484375
2024-01-25,474.95928955078125
2024-01-26,474.35589599609375
2024-01-29,478.11248779296875
2024-01-30,477.7427673339844
2024-01-31,469.94720458984375
2024-02-01,476.097900390625
2024-02-02,481.11004638671875
2024-02-05,479.3582458496094
2024-02-06,480.74993896484375
2024-02-07,484.75958251953125
2024-02-08,484.9737243652344
2024-02-09,487.77655029296875
2024-02-12,487.56243896484375
2024-02-13,480.84722900390625
2024-02-14,485.2170104980469
2024-02-15,488.5648498535156
2024-02-16,486.1318054199219
2024-02-20,483.45550537109375
2024-02-21,483.8934326171875
2024-02-22,493.9078369140625
2024-02-23,494.24847412109375
2024-02-26,492.4383239746094
2024-02-27,493.35308837890625
2024-02-28,492.7010192871094
2024-02-29,494.4723205566406
2024-03-01,499.1145324707031
2024-03-04,498.57928466796875
2024-03-05,493.5964050292969
2024-03-06,496.0975646972656
2024-03-07,501.02203369140625
2024-03-08,498.0148620605469
2024-03-11,497.5866394042969
2024-03-12,502.9393310546875
2024-03-13,502.1510009765625
2024-03-14,501.15838623046875
2024-03-15,497.7170715332031
2024-03-18,500.6750793457031
2024-03-19,503.4573974609375
2024-03-20,508.1139831542969
2024-03-21,509.7931213378906
2024-03-22,508.82672119140625
2024-03-25,507.42095947265625
2024-03-26,506.48370361328125
2024-03-27,510.7401123046875
2024-03-28,510.6424865722656
2024-04-01,509.7539978027344
2024-04-02,506.5130310058594
2024-04-03,507.06939697265625
2024-04-04,500.880126953125
2024-04-05,506.11273193359375
2024-04-08,506.3957824707031
2024-04-09,506.9815368652344
2024-04-10,501.9051513671875
2024-04-11,505.6929626464844
2024-04-12,498.7128601074219
2024-04-15,492.46490478515625
2024-04-16,491.5667419433594
2024-04-17,488.65753173828125
2024-04-18,487.6519775390625
2024-04-19,483.3956298828125
2024-04-22,487.8472595214844
2024-04-23,493.6363830566406
2024-04-24,493.4021301269531
2024-04-25,491.5276794433594
2024-04-26,496.1844177246094
2024-04-29,497.94158935546875
2024-04-30,490.0536193847656
2024-05-01,488.4623107910156
2024-05-02,493.0311279296875
2024-05-03,499.1424255371094
2024-05-06,504.2969055175781
2024-05-07,504.8534240722656
2024-05-08,504.902099609375
2024-05-09,507.8113098144531
2024-05-10,508.4654846191406
2024-05-13,508.5337829589844
2024-05-14,510.8670959472656
2024-05-15,517.193115234375
2024-05-16,516.1289672851562
2024-05-17,516.8709716796875
2024-05-20,517.4664306640625
2024-05-21,518.7354736328125
2024-05-22,517.241943359375
2024-05-23,513.4638671875
2024-05-24,516.8612060546875
2024-05-28,517.2222900390625
2024-05-29,513.6004638671875
2024-05-30,510.1934814453125
2024-05-31,514.84033203125
2024-06-03,515.2600708007812
2024-06-04,515.8361206054688
2024-06-05,521.9669189453125
2024-06-06,521.9570922851562
2024-06-07,521.3225708007812
2024-06-10,522.9332885742188
2024-06-11,524.1927490234375
2024-06-12,528.4979248046875
2024-06-13,529.5621337890625
2024-06-14,529.88427734375
2024-06-17,534.1016845703125
2024-06-18,535.4585571289062
2024-06-20,534.0039672851562
2024-06-21,533.2880859375
2024-06-24,531.5545043945312
2024-06-25,533.6014404296875
2024-06-26,534.2673950195312
2024-06-27,535.1097412109375
2024-06-28,533.0039672851562
2024-07-01,534.1010131835938
2024-07-02,537.6953125
2024-07-03,540.0949096679688
2024-07-05,543.2092895507812
2024-07-08,543.8360595703125
2024-07-09,544.364990234375
2024-07-10,549.7515258789062
2024-07-11,545.0113525390625
2024-07-12,548.448974609375
2024-07-15,549.9573364257812
2024-07-16,553.2185668945312
2024-07-17,545.4618530273438
2024-07-18,541.27001953125
2024-07-19,537.6757202148438
2024-07-22,543.2190551757812
2024-07-23,542.3670043945312
2024-07-24,530.0755615234375
2024-07-25,527.313720703125
2024-07-26,533.219482421875
2024-07-29,533.5328979492188
2024-07-30,530.8297729492188
2024-07-31,539.4581909179688
2024-08-01,531.8189086914062
2024-08-02,521.9173583984375
2024-08-05,506.7171936035156
2024-08-06,511.38885498046875
2024-08-07,507.970703125
2024-08-08,519.7136840820312
2024-08-09,522.0054321289062
2024-08-12,522.2797241210938
2024-08-13,530.868896484375
2024-08-14,532.5436401367188
2024-08-15,541.671630859375
2024-08-16,542.8861083984375
2024-08-19,548.0768432617188
2024-08-20,547.1856079101562
2024-08-21,549.0660400390625
2024-08-22,544.7566528320312
2024-08-23,550.5448608398438
2024-08-26,549.2325439453125
2024-08-27,549.9866943359375
2024-08-28,546.7938232421875
2024-08-29,546.8427734375
2024-08-30,552.06298828125
2024-09-03,540.7019653320312
2024-09-04,539.5952758789062
2024-09-05,538.2828979492188
2024-09-06,529.2235717773438
2024-09-09,535.1488647460938
2024-09-10,537.4798583984375
2024-09-11,542.9937744140625
2024-09-12,547.5675659179688
2024-09-13,550.4273681640625
2024-09-16,551.2402954101562
2024-09-17,551.4655151367188
2024-09-18,549.8299560546875
2024-09-19,559.2124633789062
2024-09-20,558.245849609375
2024-09-23,559.6408081054688
2024-09-24,561.2421264648438
2024-09-25,560.0043334960938
2024-09-26,562.2244873046875
2024-09-27,561.4091186523438
2024-09-30,563.6588134765625
2024-10-01,558.6093139648438
2024-10-02,558.8450317382812
2024-10-03,557.8233642578125
2024-10-04,562.8925170898438
2024-10-07,557.8037109375
2024-10-08,563.0791625976562
2024-10-09,566.9793701171875
2024-10-10,565.987060546875
2024-10-11,569.3763427734375
2024-10-14,574.032958984375
2024-10-15,569.5729370117188
2024-10-16,572.0484619140625
2024-10-17,572.09765625
2024-10-18,574.2981567382812
2024-10-21,573.3551025390625
2024-10-22,573.050537109375
2024-10-23,567.8142700195312
2024-10-24,569.0423583984375
2024-10-25,568.8457641601562
2024-10-28,570.6043701171875
2024-10-29,571.5278930664062
2024-10-30,569.798828125
2024-10-31,558.6289672851562
2024-11-01,560.9866943359375
2024-11-04,559.7783813476562
2024-11-05,566.5470581054688
2024-11-06,580.6346435546875
2024-11-07,585.1240844726562
2024-11-08,587.65869140625
2024-11-11,588.2186889648438
2024-11-12,586.3914184570312
2024-11-13,586.6763305664062
2024-11-14,582.9038696289062
2024-11-15,575.4376831054688
2024-11-18,577.7955322265625
2024-11-19,579.9075927734375
2024-11-20,580.1040649414062
2024-11-21,583.21826171875
2024-11-22,585.02587890625
2024-11-25,587.0103759765625
2024-11-26,590.075439453125
2024-11-27,588.2874145507812
2024-11-29,591.94189453125
2024-12-02,593.0029907226562
2024-12-03,593.2780151367188
2024-12-04,596.9619750976562
2024-12-05,595.9796752929688
2024-12-06,597.109375
2024-12-09,594.034423828125
2024-12-10,592.1875610351562
2024-12-11,596.7655029296875
2024-12-12,593.6906127929688
2024-12-13,593.57275390625
2024-12-16,596.1072387695312
2024-12-17,593.6513061523438
2024-12-18,575.9584350585938
2024-12-19,575.781494140625
2024-12-20,582.697265625
2024-12-23,586.1865844726562
2024-12-24,592.7020874023438
2024-12-26,592.7416381835938
2024-12-27,586.5020751953125
2024-12-30,579.80908203125
2024-12-31,577.69970703125
2025-01-02,576.2802734375
2025-01-03,583.4857788085938
2025-01-06,586.8470458984375
2025-01-07,580.2131958007812
2025-01-08,581.0609130859375
2025-01-10,572.1896362304688
2025-01-13,573.0768432617188
2025-01-14,573.8653564453125
2025-01-15,584.303955078125
2025-01-16,583.1802368164062
2025-01-17,589.0353393554688
2025-01-21,594.4270629882812
2025-01-22,597.7686157226562
2025-01-23,601.0313110351562
2025-01-24,599.2766723632812
2025-01-27,590.7997436523438
2025-01-28,595.8760986328125
2025-01-29,593.2048950195312
2025-01-30,596.388671875
2025-01-31,593.2146606445312
2025-02-03,589.2225952148438
2025-02-04,593.1752319335938
2025-02-05,595.580322265625
2025-02-06,597.6503295898438
2025-02-07,592.1796875
2025-02-10,596.2012939453125
2025-02-11,596.6548461914062
2025-02-12,594.732666015625
2025-02-13,601.0115966796875
2025-02-14,600.9819946289062
2025-02-18,602.746337890625
2025-02-19,604.1658325195312
2025-02-20,601.65234375
2025-02-21,591.361572265625
2025-02-24,588.6705932617188
2025-02-25,585.7430419921875
2025-02-26,586.038818359375
2025-02-27,576.6844482421875
2025-02-28,585.6838989257812
2025-03-03,575.4227905273438
2025-03-04,568.6116943359375
2025-03-05,574.722900390625
2025-03-06,564.5209350585938
2025-03-07,567.6849975585938
2025-03-10,552.564453125
2025-03-11,547.9710083007812
2025-03-12,550.8788452148438
2025-03-13,543.5353393554688
2025-03-14,554.762451171875
2025-03-17,559.0404663085938
2025-03-18,552.9981079101562
2025-03-19,559.020751953125
2025-03-20,557.4041748046875
2025-03-21,557.5880737304688
2025-03-24,567.5736083984375
2025-03-25,568.93798828125
2025-03-26,562.1458129882812
2025-03-27,560.6529541015625
2025-03-28,549.3623657226562
2025-03-31,553.0501098632812
